X,Y,objectid,globalid,CreationDate,Creator,EditDate,Editor,date_updated,under_19,_20_39,_40_49,_50_59,_60_69,_70_100,percent_female,percent_male,prov_join_field
0,0,71,95a1ac8d-327a-4a9c-a509-56524eaaff82,2020/11/30 17:38:55.896+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/30 15:30:00+00,30,65,55,70,66,52,0,0,NL
0,0,72,0ef6e3d4-e8fe-41be-b3bd-027d943512a4,2020/12/01 17:47:18.455+00,phearns,2020/12/01 17:47:18.455+00,phearns,2020/12/01 15:30:00+00,30,65,55,71,66,52,0,0,NL
-57.9319043,48.9287259,73,623dfc6c-143c-4539-8622-2654c579997b,2020/12/02 17:42:08.422+00,phearns,2020/12/02 17:42:08.422+00,phearns,2020/12/02 15:30:00+00,30,66,55,71,66,52,0,0,NL
0,0,74,84602a43-807b-4a12-b210-b667c1382884,2020/12/04 17:40:21.964+00,phearns,2020/12/04 17:40:21.964+00,phearns,2020/12/04 15:30:00+00,30,68,56,71,66,52,0,0,NL
-57.9245594,48.9457263,75,bbab1abb-850b-469d-bb11-b23b72f5af8f,2020/12/05 17:49:34.982+00,phearns,2020/12/05 17:49:34.982+00,phearns,2020/12/05 15:30:00+00,31,70,57,71,66,52,0,0,NL
-57.9245468,48.94573,76,ca589554-bbcb-46b6-918b-f2c4b255a29c,2020/12/06 17:54:52.365+00,phearns,2020/12/06 17:54:52.365+00,phearns,2020/12/06 15:30:00+00,31,71,59,71,67,52,0,0,NL
0,0,77,13b68083-08c0-4917-acaa-d0260db1f5b9,2020/12/08 17:40:38.006+00,phearns,2020/12/08 17:40:38.006+00,phearns,2020/12/08 15:30:00+00,31,71,59,72,67,52,0,0,NL
-57.9247096,48.945691,78,4b6060c1-efe2-4761-9e2d-4160ffbfdaed,2020/12/09 17:35:40.305+00,phearns,2020/12/09 17:35:40.305+00,phearns,2020/12/09 15:30:00+00,31,72,59,72,67,52,0,0,NL
0,0,79,61d9c880-df60-423c-a620-663280225fef,2020/12/10 18:16:18.941+00,phearns,2020/12/10 18:16:18.941+00,phearns,2020/12/10 15:30:00+00,31,72,59,72,68,52,0,0,NL
0,0,80,e625a9b3-5990-4592-9bf0-6f895757bc00,2020/12/11 17:59:30.801+00,phearns,2020/12/11 17:59:30.801+00,phearns,2020/12/11 15:30:00+00,31,73,59,72,68,52,0,0,NL
-57.9246024,48.9457319,81,764b34e9-329e-4c9f-adad-462bfc206ecc,2020/12/12 17:56:10.917+00,phearns,2020/12/14 14:19:50.658+00,phearns,2020/12/12 15:30:00+00,31,73,61,72,68,53,50,50,NL
0,0,82,ddaaafa0-a110-4908-878c-b39b46444284,2020/12/14 18:52:17.767+00,phearns,2020/12/14 18:52:17.767+00,phearns,2020/12/14 15:30:00+00,31,73,61,73,68,52,0,0,NL
0,0,83,c9d06f99-1bff-4af1-94cf-72a9475a7756,2020/12/15 17:53:30.962+00,phearns,2020/12/16 16:12:08.113+00,phearns,2020/12/15 15:30:00+00,31,74,61,73,68,52,50,50,NL
